problem_id,problem_name,source,algorithmic_features,Required Complexity,problem_url
P-001,Mission Hexa,ICPC Asia Dhaka Regional 2025,"geometry, number theory, combinatorics",O(LOG(N)),https://codeforces.com/gym/106270/problem/A
P-002,Boulevard of Broken Cars,ICPC Asia Dhaka Regional 2025,data structure,O(NLOG(N)),https://codeforces.com/gym/106270/problem/B
P-003,Gas Reservoir,ICPC Asia Dhaka Regional 2025,"graph, ad hoc",O(N),https://codeforces.com/gym/106270/problem/C
P-004,Save the Wonderland,ICPC Asia Dhaka Regional 2025,"graph, greedy, binary search",O(NLOG(N)),https://codeforces.com/gym/106270/problem/D
P-005,Love Marriage,ICPC Asia Dhaka Regional 2025,"probability, greedy",O(N),https://codeforces.com/gym/106270/problem/E
P-006,Morning Walk,ICPC Asia Dhaka Regional 2025,geometry,O(N),https://codeforces.com/gym/106270/problem/F
P-007,Nonogram,ICPC Asia Dhaka Regional 2025,"greedy, ad hoc",O(NLOG(N)),https://codeforces.com/gym/106270/problem/G
P-008,Optimal Balancing Strategy,ICPC Asia Dhaka Regional 2025,"number theory, sorting, greedy",O(N(SQRT(N))),https://codeforces.com/gym/106270/problem/H
P-009,Two Strings Attached,ICPC Asia Dhaka Regional 2025,data structure,O(NLOG(N)),https://codeforces.com/gym/106270/problem/I
P-010,Style String Length,ICPC Asia Dhaka Regional 2025,"string, ad hoc",O(N),https://codeforces.com/gym/106270/problem/J
P-011,The Difficulty of Ma,2026 ICPC Nanchang Invitational and Jiangxi Provincial Collegiate Programming Contest,math,O(1),https://codeforces.com/gym/106551/problem/A
P-012,UNO,2026 ICPC Nanchang Invitational and Jiangxi Provincial Collegiate Programming Contest,brute force,O(N2),
P-013,Tourist,2026 ICPC Nanchang Invitational and Jiangxi Provincial Collegiate Programming Contest,shortest path,O(N2),
P-014,Eating Cherries,2026 ICPC Nanchang Invitational and Jiangxi Provincial Collegiate Programming Contest,dp,O(SQRT(N)),
P-015,Critical Perfect,2026 ICPC Nanchang Invitational and Jiangxi Provincial Collegiate Programming Contest,"data structure, dp",O(N2),
P-016,One Touch Drawing,2026 ICPC Nanchang Invitational and Jiangxi Provincial Collegiate Programming Contest,number theory,O(N),
P-017,The Meaning of the World,2026 ICPC Nanchang Invitational and Jiangxi Provincial Collegiate Programming Contest,data structure,O(N(SQRT(N))),
P-018,BABA BOOEY,2026 ICPC Nanchang Invitational and Jiangxi Provincial Collegiate Programming Contest,math,O(NLOG(N)),
P-019,Gotta Go Fast,2026 ICPC Nanchang Invitational and Jiangxi Provincial Collegiate Programming Contest,dp,O(N),
P-020,Journey of GCD,2026 ICPC Nanchang Invitational and Jiangxi Provincial Collegiate Programming Contest,"number theory, math",O(NLOG(N)),
P-021,Legacy Code,2026 ICPC Nanchang Invitational and Jiangxi Provincial Collegiate Programming Contest,"math, number theory",O(SQRT(N)),
P-022,Little Z's Function,2026 ICPC Nanchang Invitational and Jiangxi Provincial Collegiate Programming Contest,number theory,O(NLOG(N)),
P-023,Kingdam of Construction,2026 ICPC Nanchang Invitational and Jiangxi Provincial Collegiate Programming Contest,ad hoc,O(N2),
P-024,Alphabet Chocolate,2025 ICPC Asia Manila Regional,math,O(1),
P-025,DJ Nicholas,2025 ICPC Asia Manila Regional,data structure,O(NLOG(N)),
P-026,The Drift King,2025 ICPC Asia Manila Regional,geometry,O(N),
P-027,Drinking Culture,2025 ICPC Asia Manila Regional,"greedy, math",O(NLOG(N)),
P-028,Long Distance Examination,2025 ICPC Asia Manila Regional,"bfs, dfs",O(N2),
P-029,Map and Fold,2025 ICPC Asia Manila Regional,implementation,O(N2),
P-030,Max Cut Min Flow,2025 ICPC Asia Manila Regional,greedy,O(SQRT(N)),
P-031,Prime Topology,2025 ICPC Asia Manila Regional,"number theory, binary search",O(LOG(N)),
P-032,Stone Steps,2025 ICPC Asia Manila Regional,dp,O(N),
P-033,Tic-Tac-Toe on a Graph,2025 ICPC Asia Manila Regional,ad hoc,O(N),
P-034,Toxic Culinarity,2025 ICPC Asia Manila Regional,math,O(SQRT(N)),
P-035,Trace of Product of Sparse Square Matrices,2025 ICPC Asia Manila Regional,"implementation, math",O(NLOG(N)),
P-036,Web Delivery,2025 ICPC Asia Manila Regional,"dp, greedy",O(SQRT(N)),
P-037,Square Kingdom,The 2025 ICPC Asia Shenyang Regional Contest,"math, binary search",O(N2),
P-038,Buggy Painting Software I,The 2025 ICPC Asia Shenyang Regional Contest,"greedy, sorting",O(NLOG(N)),
P-039,Buggy Painting Software II,The 2025 ICPC Asia Shenyang Regional Contest,"number theory, ad hoc",O(N(SQRT(N))),
P-040,LED Display Renovation,The 2025 ICPC Asia Shenyang Regional Contest,dp,O(N2),
P-041,Play It by Ear,The 2025 ICPC Asia Shenyang Regional Contest,"combinatorics, math",O(SQRT(N)),
P-042,The Bond Beyond Time,The 2025 ICPC Asia Shenyang Regional Contest,dfs,O(N(SQRT(N))),
P-043,Collision Damage,The 2025 ICPC Asia Shenyang Regional Contest,geometry,O(NLOG(N)),
P-044,Cute Young Diagram Counting,The 2025 ICPC Asia Shenyang Regional Contest,"combinatorics, math",O(NLOG(N)),
P-045,Volunteer Simulator,The 2025 ICPC Asia Shenyang Regional Contest,implementation,O(N),
P-046,The Echoes of Chronos,The 2025 ICPC Asia Shenyang Regional Contest,data structure,O(1),
P-047,Relay Jump,The 2025 ICPC Asia Shenyang Regional Contest,"math, geometry",O(N2),
P-048,Leo,The 2025 ICPC Asia Shenyang Regional Contest,ad hoc,O(N),
P-049,The End?,The 2025 ICPC Asia Shenyang Regional Contest,brute force,O(NLOG(N)),
P-050,Sandfall,IUT 12th ICT Fest Inter University Programming Contest 2026,dp,O(N2),
P-051,All Closed,The 2026 ICPC Asia EC Regionals Online Contest (II),"math, data structure, brute force",O(N2),
P-052,Bread,The 2026 ICPC Asia EC Regionals Online Contest (II),"geometry, math, data structure",O(NLOG(N)),
P-053,Cut Tree,The 2026 ICPC Asia EC Regionals Online Contest (II),"graph, data structure",O(N(SQRT(N))),
P-054,Divide and Conquer,The 2026 ICPC Asia EC Regionals Online Contest (II),"combinatorics, graph, data structure",O(N2),
P-055,Exponent,The 2026 ICPC Asia EC Regionals Online Contest (II),"number theory, math",O(SQRT(N)),
P-056,Folding Game of Ohto Ai,The 2026 ICPC Asia EC Regionals Online Contest (II),"graph, data structure, greedy",O(N(SQRT(N))),
P-057,Ghost of Tsushima,The 2026 ICPC Asia EC Regionals Online Contest (II),"combinatorics, math",O(NLOG(N)),
P-058,Hidden Track (Easy Version),The 2026 ICPC Asia EC Regionals Online Contest (II),"ad hoc, graph, math",O(NLOG(N)),
P-059,Island,The 2026 ICPC Asia EC Regionals Online Contest (II),"dp, graph, math",O(N),
P-060,Joker or Judger,The 2026 ICPC Asia EC Regionals Online Contest (II),"implementation, string, data structure",O(1),
P-061,K-MEX,The 2026 ICPC Asia EC Regionals Online Contest (II),"brute force, math, dp",O(N2),
P-062,Loop,The 2026 ICPC Asia EC Regionals Online Contest (II),"greedy, math",O(N),
P-063,At the midpoint,2026 Argentinian Programming Tournament (TAP),"ad hoc, math, implementation",O(1),
P-064,Breaking Rosarigasino,2026 Argentinian Programming Tournament (TAP),"string, implementation, brute force",O(N),
P-065,Confrontation of Numbers,2026 Argentinian Programming Tournament (TAP),"games, dp, greedy",O(N),
P-066,Digit One Dilemma,2026 Argentinian Programming Tournament (TAP),"dp, math, greedy",O(N),
P-067,Engaging Card Game,2026 Argentinian Programming Tournament (TAP),"games, graph, greedy",O(NLOG(N)),
P-068,Flow of Messages,2026 Argentinian Programming Tournament (TAP),"graph, shortest path, math",O(N2),
P-069,Galactic Southern Cross,2026 Argentinian Programming Tournament (TAP),"geometry, math, data structure",O(NLOG(N)),
P-070,Harmonic Arrays,2026 Argentinian Programming Tournament (TAP),"number theory, math, brute force",O(1),
P-071,Is There a Winner?,2026 Argentinian Programming Tournament (TAP),"math, combinatorics, ad hoc",O(1),
P-072,Joy of playing TAPum,2026 Argentinian Programming Tournament (TAP),"string, dp, greedy",O(N2),
P-073,Kilograms Exceeded,2026 Argentinian Programming Tournament (TAP),"implementation, math, ad hoc",O(N),
P-074,Luana's Album,2026 Argentinian Programming Tournament (TAP),"dp, binary search, greedy",O(NLOG(N)),
P-075,Mendocinos Mismanaging Malbec,2026 Argentinian Programming Tournament (TAP),"data structure, binary search",O(NLOG(N)),
P-076,Number of Strings,2026 Argentinian Programming Tournament (TAP),"dp, combinatorics, string",O(N),
P-077,High Frequency,The 2026 ICPC South America  Brazil,"ad hoc, math, implementation",O(N),
P-078,Sequences,The 2026 ICPC South America  Brazil,"dp, math, combinatorics",O(N2),
P-079,Exchange Rate,The 2026 ICPC South America  Brazil,"math, ad hoc",O(1),
P-080,Dragons in Harmony,The 2026 ICPC South America  Brazil,"implementation, brute force, ad hoc",O(N2),
P-081,Network Editing,The 2026 ICPC South America  Brazil,"graph, greedy, ad hoc",O(N),
P-082,Flower,The 2026 ICPC South America  Brazil,"math, ad hoc",O(1),
P-083,Genes,The 2026 ICPC South America  Brazil,"string, data structure, binary search",O(NLOG(N)),
P-084,Traffic Lights,The 2026 ICPC South America  Brazil,"data structure, greedy, ad hoc",O(N),
P-085,Inside the Guinea Pig Playpen,The 2026 ICPC South America  Brazil,"graph, data structure, greedy",O(NLOG(N)),
P-086,Phone Lines,The 2026 ICPC South America  Brazil,"graph, shortest path, data structure",O(NLOG(N)),
P-087,Contingency,The 2026 ICPC South America  Brazil,"greedy, math, implementation",O(NLOG(N)),
P-088,Maze,The 2026 ICPC South America  Brazil,"ad hoc, graph",O(N2),
P-089,Microwave,The 2026 ICPC South America  Brazil,"graph, shortest path, dp",O(NLOG(N)),
P-090,Nlogônia's Keys,The 2026 ICPC South America  Brazil,"ad hoc, graph",O(NLOG(N)),
