problem_id,problem_name,source,problem_url,rating,algorithmic_features,required_complexity
CF001,A. Three Numbers on the Blackboard,Codeforces,https://codeforces.com/problemset/problem/2256/A,800,math,O(1)
CF002,A. Riptide,Codeforces,https://codeforces.com/problemset/problem/2254/A,800,implementation,O(1)
CF003,A. The Best Card,Codeforces,https://codeforces.com/problemset/problem/2253/A,800,"math, number theory",O(n)
CF004,A. Boss Fight,Codeforces,https://codeforces.com/problemset/problem/2252/A,800,greedy,O(n)
CF005,A. Threshold Movement,Codeforces,https://codeforces.com/problemset/problem/2250/A,800,"brute force, math",O(n)
CF006,"You Delete, I Delete",Codeforces,https://codeforces.com/problemset/problem/2248/A,800,greedy,O(n)
CF007,Disturbing Distribution,Codeforces,https://codeforces.com/problemset/problem/2226/A,800,"greedy, math",O(n)
CF008,Sieve of Eratosthenes,Codeforces,https://codeforces.com/problemset/problem/2195/A,800,"number theory, math",O(n)
CF009,Lasers,Codeforces,https://codeforces.com/problemset/problem/2148/B,800,geometry,O(1)
CF010,MEX Partition,Codeforces,https://codeforces.com/problemset/problem/2160/A,800,math,O(1)
CF011,Evanescent,Codeforces,https://codeforces.com/problemset/problem/2254/B,900,"implementation, string",O(n)
CF012,The Secret Number,Codeforces,https://codeforces.com/problemset/problem/2132/B,900,math,O(1)
CF013,Clockwork,Codeforces,https://codeforces.com/problemset/problem/2062/B,900,"greedy, math",O(n)
CF014,Fireworks,Codeforces,https://codeforces.com/problemset/problem/1945/B,900,"math, number theory",O(1)
CF015,Lucky Numbers,Codeforces,https://codeforces.com/problemset/problem/1808/A,900,"brute force, implementation",O(1)
CF016,Ideal Point,Codeforces,https://codeforces.com/problemset/problem/1795/B,900,"brute force, geometry, greedy",O(n)
CF017,Permutation Swap,Codeforces,https://codeforces.com/problemset/problem/1828/B,900,"math, number theory",O(n)
CF018,Alternating String,Codeforces,https://codeforces.com/problemset/problem/2225/B,900,"brute force, greedy",O(n)
CF019,Make Majority,Codeforces,https://codeforces.com/problemset/problem/1988/B,900,"greedy, implementation",O(n)
CF020,Doremy's Perfect Math Class,Codeforces,https://codeforces.com/problemset/problem/1764/B,900,"math, number theory",O(n)
CF021,Domino Tiles,Codeforces,https://codeforces.com/problemset/problem/2256/B,1000,"implementation, math",O(n)
CF022,Annoying the Ghost,Codeforces,https://codeforces.com/problemset/problem/2237/B,1000,"brute force, greedy",O(n^2)
CF023,Marenol (easy version),Codeforces,https://codeforces.com/problemset/problem/2254/C1,1000,greedy,O(n)
CF024,Merge to Match,Codeforces,https://codeforces.com/problemset/problem/2248/B,1000,"greedy, sorting",O(nlog(n))
CF025,Spring,Codeforces,https://codeforces.com/problemset/problem/2204/C,1000,"math, number theory",O(log(n))
CF026,Deck of Cards,Codeforces,https://codeforces.com/problemset/problem/2145/B,1000,"greedy, implementation",O(n)
CF027,Square Pool,Codeforces,https://codeforces.com/problemset/problem/2120/B,1000,geometry,O(n)
CF028,Gorilla and the Exam,Codeforces,https://codeforces.com/problemset/problem/2057/B,1000,"greedy, sorting",O(nlog(n))
CF029,The Strict Teacher (Easy Version),Codeforces,https://codeforces.com/problemset/problem/2005/B1,1000,"greedy, sorting",O(nlog(n))
CF030,Game with Doors,Codeforces,https://codeforces.com/problemset/problem/2004/B,1000,"brute force, greedy",O(1)
CF031,Hypercarp and the Control Panel,Codeforces,https://codeforces.com/problemset/problem/2253/B,1100,"brute force, data structure",O(n)
CF032,Inversion of a Subsequence,Codeforces,https://codeforces.com/problemset/problem/2247/C,1100,"greedy, math",O(n)
CF033,AI Finds Nothing Here,Codeforces,https://codeforces.com/problemset/problem/2240/B,1100,"combinatorics, math",O(log(n))
CF034,Drifting Away,Codeforces,https://codeforces.com/problemset/problem/2169/B,1100,"greedy, implementation",O(n)
CF035,I Will Definitely Make It,Codeforces,https://codeforces.com/problemset/problem/2126/C,1100,"greedy, sorting",O(nlog(n))
CF036,Kevin and Geometry,Codeforces,https://codeforces.com/problemset/problem/2061/B,1100,"binary search, geometry",O(nlog(n))
CF037,Chaya Calendar,Codeforces,https://codeforces.com/problemset/problem/1932/B,1100,number theory,O(n)
CF038,Update Queries,Codeforces,https://codeforces.com/problemset/problem/1986/C,1100,"data structure, greedy, sorting",O(nlog(n))
CF039,Robin Hood in Town,Codeforces,https://codeforces.com/problemset/problem/2014/C,1100,"binary search, greedy",O(nlog(n))
CF040,Slavic's Exam,Codeforces,https://codeforces.com/problemset/problem/1999/D,1100,"greedy, string",O(n)
CF041,Marenol (hard version),Codeforces,https://codeforces.com/problemset/problem/2254/C2,1200,"greedy, sorting",O(n)
CF042,Brightness Begins,Codeforces,https://codeforces.com/problemset/problem/2020/B,1200,"binary search, math",O(log(n))
CF043,A Simple GCD Problem (Easy Version),Codeforces,https://codeforces.com/problemset/problem/2210/C1,1200,"greedy, number theory",O(nlog(n))
CF044,Addition on a Segment,Codeforces,https://codeforces.com/problemset/problem/2170/B,1200,"greedy, math",O(n)
CF045,Against the Difference,Codeforces,https://codeforces.com/problemset/problem/2135/A,1200,"data structure, dp",O(1)
CF046,This Is the Last Time,Codeforces,https://codeforces.com/problemset/problem/2126/D,1200,"data structure, greedy, sorting",O(nlog(n))
CF047,Fear of the Dark,Codeforces,https://codeforces.com/problemset/problem/1886/B,1200,"binary search, geometry, math",O(1)
CF048,Joyboard,Codeforces,https://codeforces.com/problemset/problem/1877/C,1200,"math, number theory",O(1)
CF049,Swap Columns and Find a Path,Codeforces,https://codeforces.com/problemset/problem/2046/A,1200,"greedy, sorting",O(n)
CF050,Cool Partition,Codeforces,https://codeforces.com/problemset/problem/2117/C,1200,"data structure, greedy",O(n)
CF051,Silhouette,Codeforces,https://codeforces.com/problemset/problem/2254/D,1300,"math, sorting",O(nlog(n))
CF052,Time Display Stickers,Codeforces,https://codeforces.com/problemset/problem/2206/K,1300,binary search,O(nlog(n))
CF053,Non-Descending Arrays,Codeforces,https://codeforces.com/problemset/problem/2144/C,1300,"combinatorics, dp",O(n)
CF054,Make it Alternating,Codeforces,https://codeforces.com/problemset/problem/1879/C,1300,"combinatorics, dp",O(n)
CF055,Closest Cities,Codeforces,https://codeforces.com/problemset/problem/1922/C,1300,"greedy, math",O(n)
CF056,It All Went Sideways,Codeforces,https://codeforces.com/problemset/problem/2227/E,1400,"data structure, dp",O(n)
CF057,Arboris Contractio,Codeforces,https://codeforces.com/problemset/problem/2131/D,1400,"data structure, graph",O(n)
CF058,Array and GCD,Codeforces,https://codeforces.com/problemset/problem/2104/D,1400,"binary search, number theory",O(nlog(n))
CF059,Satyam and Counting,Codeforces,https://codeforces.com/problemset/problem/2009/D,1400,"geometry, math",O(nlog(n))
CF060,Largest Subsequence,Codeforces,https://codeforces.com/problemset/problem/1905/C,1400,"greedy, string",O(n)
CF061,Chronostasis,Codeforces,https://codeforces.com/problemset/problem/2254/E,1500,"binary search, data structure",O(nlog(n))
CF062,Median Partition,Codeforces,https://codeforces.com/problemset/problem/2222/C,1500,"dp, math",O(n^2)
CF063,Idiot First Search,Codeforces,https://codeforces.com/problemset/problem/2195/E,1500,"dfs, bfs, graph",O(n)
CF064,Min Max MEX,Codeforces,https://codeforces.com/problemset/problem/2093/E,1500,"binary search, brute force, greedy",O(nlog(n))
CF065,Three Strings,Codeforces,https://codeforces.com/problemset/problem/2050/E,1500,"dp, implementation, string",O(n^2)
CF066,A Ribbon for Tomorrow,Codeforces,https://codeforces.com/problemset/problem/2255/B,1600,"combinatorics, math",O(n)
CF067,Two Digit Strings,Codeforces,https://codeforces.com/problemset/problem/2242/D,1600,"dp, string",O(n^2)
CF068,Fair and Square,Codeforces,https://codeforces.com/problemset/problem/2241/E,1600,"combinatorics, dp, graph, math, number theory",O(n)
CF069,Where's My Water?,Codeforces,https://codeforces.com/problemset/problem/2207/C,1600,"data structure, dp, math",O(n^2)
CF070,Physical Education Lesson,Codeforces,https://codeforces.com/problemset/problem/1928/C,1600,"brute force, math, number theory",O(sqrt(n))
